generation,learning_rate,weight_decay,dropout,fitness
0,0.004107742374851909,0.0005612598484008215,0.41797022870272815,0.974090067859346
0,0.0039572551896328535,0.000369539835014999,0.405099436245663,0.9753238741517581
0,0.00334267623763284,0.00044691822877715014,0.27815431882404906,0.9765576804441702
0,0.0036560518871911526,0.0007082072747557839,0.3372658848366848,0.97347316471314
0,0.0031350438769153,0.0007808126309570791,0.3185733795027791,0.9796421961752005
0,0.0036857948677596884,0.0005111670126402572,0.3178542389045911,0.9765576804441702
1,0.04792077080109938,-0.0023629887080827204,0.30155475178420715,0.9728562615669339
1,0.0031350438769153,0.0007808126309570792,0.3185733795027791,0.9685379395434917
1,0.0031350438769153,0.0007808126309570791,0.2849757818824921,0.974090067859346
1,0.0031350438769153,0.0007808126309570791,0.3185733795027791,0.9703886489821099
1,0.0031350438769153,0.0007808126309570791,0.3185733795027791,0.9728562615669339
1,0.0031350438769153,0.0007808126309570791,0.3185733795027791,0.97347316471314
2,0.0031350438769153005,0.000780812630957079,0.3086201155309566,0.974090067859346
2,0.0031350438769153005,0.000780812630957079,0.2949290458543147,0.9753238741517581
2,0.033221516555463265,-0.0018400397338417048,0.30659174298636543,0.9697717458359038
2,0.01783429812255142,-0.07751695358538183,0.27993879068033384,0.9747069710055521
2,0.0031350438769153,0.0007808126309570791,0.3071375268279008,0.97347316471314
2,0.0031350438769153,0.0007808126309570791,0.419540155060944,0.9759407772979642
